#,Attività,Settore,Referente,Telefono,Email/IG,Canale,Priorità,Gancio,Stato,Ultimo contatto,Prossima azione
1,(es.) Pizzeria da Mario,Ristorante,Mario,333xxxxxxx,@pizzeriamario,DM IG,Alta,"Prenotano molto via WhatsApp, qualche no-show",Da contattare,,Scrivere DM lunedì
2,(es.) Studio Dr. Bianchi,Studio dentistico,Dr.ssa Bianchi,0932xxxxxx,info@studiobianchi.it,Email,Alta,Molti richiami appuntamenti a mano,Da contattare,,Inviare email 23/07
3,,Ristorante,,,,,,,Da contattare,,
4,,Ristorante,,,,,,,Da contattare,,
5,,Ristorante,,,,,,,Da contattare,,
6,,Studio medico/dentistico,,,,,,,Da contattare,,
7,,Studio medico/dentistico,,,,,,,Da contattare,,
8,,Studio medico/dentistico,,,,,,,Da contattare,,
9,,Palestra/Estetica,,,,,,,Da contattare,,
10,,Palestra/Estetica,,,,,,,Da contattare,,
11,,Palestra/Estetica,,,,,,,Da contattare,,
12,,Commercialista,,,,,,,Da contattare,,
13,,Commercialista,,,,,,,Da contattare,,
14,,Assicurazione,,,,,,,Da contattare,,
15,,Assicurazione,,,,,,,Da contattare,,
16,,Parrucchiere/Estetista,,,,,,,Da contattare,,
17,,Parrucchiere/Estetista,,,,,,,Da contattare,,
18,,Altro,,,,,,,Da contattare,,
19,,Altro,,,,,,,Da contattare,,
20,,Altro,,,,,,,Da contattare,,
21,,,,,,,,,Da contattare,,
22,,,,,,,,,Da contattare,,
23,,,,,,,,,Da contattare,,
24,,,,,,,,,Da contattare,,
25,,,,,,,,,Da contattare,,
26,,,,,,,,,Da contattare,,
27,,,,,,,,,Da contattare,,
28,,,,,,,,,Da contattare,,
29,,,,,,,,,Da contattare,,
30,,,,,,,,,Da contattare,,
